RespondentID,choice,avcycle,avwalk,avhsr,avcar,timecycle,timewalk,accesshsr,waitingtimehsr,transfer,timehsr,timecar,parking,vehind,owncycle,gender,work,visa,age,solo,shared,family,child,primary_caregiver,LAT,LONG,DAUID,mhi,dwell_den,lum,st_den,inter_den,SF_P_ratio,side_den,Shelters_SD,Shelters_D,Shelters_A,Shelters_SA
576281819,2,0,1,0,1,2.91407871,10,0,10.23,100000,100000,2,0,0,0,0,0,1,18,0,1,0,0,100000,43.257822,-79.919413,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,1,0
576286455,2,1,1,1,0,5.82815742,20,24.84,10.23,0,6,100000,0,0,1,0,1,1,23,1,0,0,0,100000,43.26302,-79.900741,35250503,3.3902,941.397976,0.805636,14.37620617,39.22491567,0.230931,22.63322192,0,0,1,0
576356204,2,0,1,1,0,5.82815742,20,4.97,10.23,0,10,100000,0,0,0,0,1,1,20,0,1,0,0,100000,43.257822,-79.919413,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,1,0
576372154,4,0,1,1,1,10.86956522,37.30017762,5.33,10.23,0,25,10,0,0,0,1,1,1,29,0,0,1,0,1,43.257726,-79.879424,35250406,2.0685,4133.616356,0.642704,18.1090381,111.719361,0.3572,30.94534129,0,0,0,0
576374711,2,0,1,1,1,4.371118065,15,24.84,10.23,0,10,5,0,1,0,0,0,1,20,0,1,0,0,100000,43.261318,-79.907289,35250675,4.577,1688.572472,0.28083,19.4975356,109.5290252,0.356169,39.64003191,0,0,1,0
576385471,3,0,0,1,1,100000,100000,1,5,1,40,18,0,0,1,0,0,1,18,0,0,1,1,0,43.256492,-79.836154,35250703,2.9519,2083.746775,0.613183,16.08503671,39.69041476,0.429678,27.53587855,0,0,1,0
576408847,3,0,0,1,1,100000,100000,7,12,1,40,17,0,0,0,0,1,1,21,0,0,1,1,0,43.231615,-79.865359,35250550,6.141,1658.304278,0,17.92805511,34.016498,0.296477,31.81162922,0,0,0,0
576420361,4,0,0,1,1,100000,100000,0.45,10.23,0,45,20,0,0,1,1,1,1,19,0,0,1,0,0,43.231284,-79.802559,35250337,3.9266,3399.708596,0.278172,15.58377853,97.13453133,0.338615,28.99760765,0,0,0,0
576421980,2,0,1,1,0,2.91407871,10,12.42,10.23,0,3,100000,0,0,0,0,0,1,19,0,1,0,0,100000,43.258076,-79.911943,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,0,0
576425203,2,0,1,1,1,4.371118065,15,12.42,10.23,0,3,1,0,1,0,0,1,1,19,0,1,0,0,100000,43.260301,-79.910886,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,1,0
576428102,2,0,1,0,1,5.82815742,20,0,10.23,100000,100000,5,0,1,0,0,0,1,19,0,1,0,0,100000,43.257934,-79.914077,35250670,9.8697,332.0281193,0.336606,11.88381306,29.76803829,0.313389,18.5668136,0,1,0,0
576430526,2,0,1,1,0,5.82815742,20,1.07,10.23,0,3,100000,0,0,0,1,0,1,19,0,1,0,0,100000,43.257199,-79.933499,35250962,4.0599,1555.366013,0.338383,10.05574231,30.10385831,0.240843,24.55266414,0,0,0,0
576440402,4,0,0,1,1,100000,100000,37.27,10.23,3,120,25,1,0,1,0,1,1,20,0,0,1,1,0,43.242872,-79.778821,35250845,2.7866,1726.762969,0.471,5.590497233,29.70775001,0.182188,16.35881593,0,0,1,0
576453822,2,1,1,1,1,2.91407871,10,2.66,10.23,0,2,5,0,1,1,1,1,1,20,0,1,0,0,100000,43.257822,-79.919413,35250669,5.4911,892.1743564,0.47946,14.30782564,45.88325261,0.268249,37.4575743,0,0,0,0
576463293,2,0,1,1,0,3.788302323,13,37.27,10.23,0,5,100000,0,0,0,0,0,1,20,0,1,0,0,100000,43.261937,-79.894166,35250848,5.3641,404.6750851,0.514126,6.513789412,2.610807,0.100295,4.543402359,0,1,0,0
576472420,2,0,1,1,0,4.371118065,15,62.11,10.23,0,7,100000,0,0,0,0,0,1,19,0,1,0,0,100000,43.258076,-79.911943,35250672,6.6385,1199.709838,0.499495,15.73366442,55.80045756,0.311577,35.69782751,0,0,0,0
576511559,1,1,1,1,0,15,100000,42.63,10.23,0,7,100000,0,0,1,1,1,0,34,0,1,0,0,100000,43.257401,-79.932111,35250680,4.8067,488.7095562,0.682357,10.18232626,30.07443422,0.250599,19.88144051,0,1,0,0
576523356,4,0,0,1,1,100000,100000,2.48,10.23,3,60,20,1,1,0,0,1,1,22,0,0,1,1,0,43.181437,-79.773043,35250180,7.0814,198.6026521,0.6652,3.54117695,10.18475139,0.110505,8.153216579,0,0,0,0
576572775,2,0,1,0,1,2.91407871,10,0,10.23,100000,100000,5,0,1,0,0,1,1,23,0,1,0,0,100000,43.257586,-79.925898,35250680,4.8067,488.7095562,0.682357,10.18232626,30.07443422,0.250599,19.88144051,0,1,0,0
576573463,3,0,0,1,1,100000,100000,3,5,0,8,9,0,0,0,0,1,1,20,0,1,0,0,100000,43.26302,-79.900741,35250503,3.3902,941.397976,0.805636,14.37620617,39.22491567,0.230931,22.63322192,0,0,1,0
